Position;PositionIdx;Indices;Frame;Idx;Time;SNR;Nucleoid_size;NucleoidLength;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;ObjectCount
Im001;0;4-21-1;4;1;8.00000;9.31645;1.15451;1.67007;2.12917;-1.22101e-02;3.52000;0.89570;0
Im001;0;4-22-0;4;0;8.00000;9.80721;1.80607;3.07834;1.92083;-4.37399e-02;3.86316;0.86993;0
Im001;0;4-23-0;4;0;8.00000;6.06066;0.86874;1.76329;1.09730;-4.22186e-03;2.29670;0.86367;0
Im001;0;4-24-0;4;0;8.00000;5.89246;0.83445;1.30506;0.94954;-2.14365e-03;3.72770;0.86721;0
Im001;0;4-24-1;4;1;8.00000;5.51443;0.83445;1.48531;2.87540;4.30540e-02;3.72770;0.90532;0
Im001;0;4-25-0;4;0;8.00000;7.36403;0.85731;1.50062;2.54455;-2.39081e-02;3.57435;0.91197;0
Im001;0;4-25-1;4;1;8.00000;6.08945;0.56011;1.19535;0.72070;-4.38095e-02;3.57435;0.84453;0
Im001;0;4-26-0;4;0;8.00000;7.49661;0.40008;0.75600;0.38002;8.78070e-02;2.54656;0.77869;0
Im001;0;4-26-1;4;1;8.00000;5.38219;0.26291;0.91972;1.95643;2.59387e-03;2.54656;0.77214;0
Im001;0;4-27-0;4;0;8.00000;6.58338;0.57154;1.00863;0.79131;-0.11100;3.28425;0.84626;0
Im001;0;4-27-1;4;1;8.00000;5.53156;0.67442;1.15151;2.31776;-3.84254e-02;3.28425;0.92249;0
Im001;0;4-28-0;4;0;8.00000;9.48187;1.02877;1.86719;1.49531;2.13864e-02;2.71760;0.87267;0
Im001;0;4-29-0;4;0;8.00000;8.94530;1.26882;2.44272;1.42565;9.82172e-03;2.86953;0.93182;0
Im001;0;4-30-0;4;0;8.00000;7.85778;1.32597;2.28808;1.79967;-1.45657e-02;3.04415;0.81762;0
Im001;0;4-31-0;4;0;8.00000;7.71718;1.37170;2.53458;1.48659;-6.26717e-02;3.10154;0.89337;0
Im001;0;4-32-0;4;0;8.00000;15.39177;0.65156;1.15151;0.92839;3.91889e-02;1.76602;0.91063;0
Im001;0;4-33-0;4;0;8.00000;13.00962;0.93733;1.67007;1.30516;-6.52419e-02;2.08669;0.81691;0
Im001;0;4-34-0;4;0;8.00000;7.57278;0.73157;1.25141;0.95287;2.81028e-02;1.98301;0.88205;0
Im001;0;4-35-0;4;0;8.00000;9.54175;0.92590;1.57858;0.66506;-4.08759e-02;2.14804;0.83528;1
Im001;0;5-0-0;5;0;10.00000;11.52383;1.34884;2.43804;1.41272;0.16847;2.85215;0.84203;0
Im001;0;5-1-0;5;0;10.00000;7.37181;0.96019;1.60372;1.39557;3.92293e-02;2.41247;0.93188;0
Im001;0;5-2-0;5;0;10.00000;7.09911;0.89160;1.48531;1.00122;-8.51929e-02;4.19232;0.81930;0
Im001;0;5-2-1;5;1;10.00000;7.37066;0.83445;1.33964;3.06032;-0.11513;4.19232;0.85133;0
Im001;0;5-3-0;5;0;10.00000;4.30667;0.86874;1.83009;0.87154;3.70517e-02;2.12923;1.03016;0
Im001;0;5-4-0;5;0;10.00000;5.28208;0.65156;1.32247;1.08150;5.88270e-02;4.10805;0.91323;0
Im001;0;5-4-1;5;1;10.00000;5.72512;0.94876;1.39400;2.96887;7.25886e-02;4.10805;0.89059;0
Im001;0;5-5-0;5;0;10.00000;20.96720;0.85731;1.45420;1.03293;-6.32969e-02;1.95882;0.87591;0
Im001;0;5-6-0;5;0;10.00000;6.66992;0.74300;1.53079;0.91766;-5.35809e-02;2.03099;0.86054;0
Im001;0;5-7-0;5;0;10.00000;20.99721;0.34292;0.65034;0.56228;-5.81329e-02;2.65583;0.76218;0
Im001;0;5-8-0;5;0;10.00000;11.48359;0.35436;0.71721;0.57337;-1.06728e-02;2.34600;0.79075;0
Im001;0;5-8-1;5;1;10.00000;11.50344;0.52582;1.07448;1.65250;-9.94150e-02;2.34600;0.75532;0
Im001;0;5-9-0;5;0;10.00000;6.43939;0.66299;1.30068;0.98962;-5.31426e-02;3.91484;0.88814;0
Im001;0;5-9-1;5;1;10.00000;7.15618;1.01734;1.86719;2.85752;7.38078e-02;3.91484;0.89302;0
Im001;0;5-10-0;5;0;10.00000;14.32537;0.93733;1.58941;0.93590;-2.17906e-02;1.96395;0.89392;0
Im001;0;5-11-0;5;0;10.00000;11.45265;1.28025;2.36666;1.59507;4.52275e-03;3.16124;0.86199;0
Im001;0;5-12-0;5;0;10.00000;5.76508;0.93733;1.53079;0.98327;7.30085e-02;2.22617;0.86601;0
Im001;0;5-13-0;5;0;10.00000;5.28721;0.65156;1.11623;0.77766;4.58480e-02;3.58779;0.91497;0
Im001;0;5-13-1;5;1;10.00000;5.24966;0.57154;1.18091;2.35448;6.20229e-04;3.58779;0.86974;0
Im001;0;5-14-0;5;0;10.00000;7.36038;0.78873;1.39400;0.71906;-1.47698e-02;3.66805;0.86779;0
Im001;0;5-14-1;5;1;10.00000;7.12243;0.84588;1.51201;2.57944;-1.45571e-02;3.66805;0.88255;0
Im001;0;5-15-0;5;0;10.00000;3.67389;0.78873;1.21902;0.95264;1.15937e-02;2.16531;0.88427;0
Im001;0;5-16-0;5;0;10.00000;9.28421;1.20024;2.10869;1.29548;5.67587e-02;2.55215;0.89457;0
Im001;0;5-17-0;5;0;10.00000;9.49738;0.74300;1.53079;1.04331;-6.50402e-02;2.00809;0.94729;0
Im001;0;5-18-0;5;0;10.00000;7.53064;1.45171;2.37390;1.47478;-9.40430e-02;2.92818;0.88500;0
Im001;0;5-19-0;5;0;10.00000;11.09635;0.85731;1.71064;0.85985;-4.86289e-02;2.16189;0.94356;0
Im001;0;5-20-0;5;0;10.00000;10.00112;1.20024;2.12220;1.52609;9.90971e-02;2.72227;0.83474;0
Im001;0;5-21-0;5;0;10.00000;6.57672;0.12574;0.38549;0.35646;-0.10001;3.52000;0.79213;0
Im001;0;5-21-1;5;1;10.00000;9.31645;1.15451;1.67007;2.12917;-1.22101e-02;3.52000;0.89570;0
Im001;0;5-22-0;5;0;10.00000;9.80721;1.80607;3.07834;1.92083;-4.37399e-02;3.86316;0.86993;0
Im001;0;5-23-0;5;0;10.00000;6.06066;0.86874;1.76329;1.09730;-4.22186e-03;2.29670;0.86367;0
Im001;0;5-24-0;5;0;10.00000;5.89246;0.83445;1.30506;0.94954;-2.14365e-03;3.72770;0.86721;0
Im001;0;5-24-1;5;1;10.00000;5.51443;0.83445;1.48531;2.87540;4.30540e-02;3.72770;0.90532;0
Im001;0;5-25-0;5;0;10.00000;7.36403;0.85731;1.50062;2.54455;-2.39081e-02;3.57435;0.91197;0
Im001;0;5-25-1;5;1;10.00000;6.08945;0.56011;1.19535;0.72070;-4.38095e-02;3.57435;0.84453;0
Im001;0;5-26-0;5;0;10.00000;7.49661;0.40008;0.75600;0.38002;8.78070e-02;2.54656;0.77869;0
Im001;0;5-26-1;5;1;10.00000;5.38219;0.26291;0.91972;1.95643;2.59387e-03;2.54656;0.77214;0
Im001;0;5-27-0;5;0;10.00000;6.58338;0.57154;1.00863;0.79131;-0.11100;3.28425;0.84626;0
Im001;0;5-27-1;5;1;10.00000;5.53156;0.67442;1.15151;2.31776;-3.84254e-02;3.28425;0.92249;0
Im001;0;5-28-0;5;0;10.00000;9.48187;1.02877;1.86719;1.49531;2.13864e-02;2.71760;0.87267;0
Im001;0;5-29-0;5;0;10.00000;8.94530;1.26882;2.44272;1.42565;9.82172e-03;2.86953;0.93182;0
Im001;0;5-30-0;5;0;10.00000;7.85778;1.32597;2.28808;1.79967;-1.45657e-02;3.04415;0.81762;0
Im001;0;5-31-0;5;0;10.00000;7.71718;1.37170;2.53458;1.48659;-6.26717e-02;3.10154;0.89337;0
Im001;0;5-32-0;5;0;10.00000;15.39177;0.65156;1.15151;0.92839;3.91889e-02;1.76602;0.91063;0
Im001;0;5-33-0;5;0;10.00000;13.00962;0.93733;1.67007;1.30516;-6.52419e-02;2.08669;0.81691;0
Im001;0;5-34-0;5;0;10.00000;7.57278;0.73157;1.25141;0.95287;2.81028e-02;1.98301;0.88205;0
Im001;0;5-35-0;5;0;10.00000;9.54175;0.92590;1.57858;0.66506;-4.08759e-02;2.14804;0.83528;0
Im001;0;6-0-0;6;0;12.00000;11.52383;1.34884;2.43804;1.41272;0.16847;2.85215;0.84203;0
Im001;0;6-1-0;6;0;12.00000;7.37181;0.96019;1.60372;1.39557;3.92293e-02;2.41247;0.93188;0
Im001;0;6-2-0;6;0;12.00000;7.09911;0.89160;1.48531;1.00122;-8.51929e-02;4.19232;0.81930;0
Im001;0;6-2-1;6;1;12.00000;7.37066;0.83445;1.33964;3.06032;-0.11513;4.19232;0.85133;0
Im001;0;6-3-0;6;0;12.00000;4.30667;0.86874;1.83009;0.87154;3.70517e-02;2.12923;1.03016;0
Im001;0;6-4-0;6;0;12.00000;5.28208;0.65156;1.32247;1.08150;5.88270e-02;4.10805;0.91323;0
Im001;0;6-4-1;6;1;12.00000;5.72512;0.94876;1.39400;2.96887;7.25886e-02;4.10805;0.89059;0
Im001;0;6-5-0;6;0;12.00000;20.96720;0.85731;1.45420;1.03293;-6.32969e-02;1.95882;0.87591;0
Im001;0;6-6-0;6;0;12.00000;6.66992;0.74300;1.53079;0.91766;-5.35809e-02;2.03099;0.86054;0
Im001;0;6-7-0;6;0;12.00000;20.99721;0.34292;0.65034;0.56228;-5.81329e-02;2.65583;0.76218;0
Im001;0;6-8-0;6;0;12.00000;11.48359;0.35436;0.71721;0.57337;-1.06728e-02;2.34600;0.79075;0
Im001;0;6-8-1;6;1;12.00000;11.50344;0.52582;1.07448;1.65250;-9.94150e-02;2.34600;0.75532;0
Im001;0;6-9-0;6;0;12.00000;6.43939;0.66299;1.30068;0.98962;-5.31426e-02;3.91484;0.88814;0
Im001;0;6-9-1;6;1;12.00000;7.15618;1.01734;1.86719;2.85752;7.38078e-02;3.91484;0.89302;0
Im001;0;6-10-0;6;0;12.00000;14.32537;0.93733;1.58941;0.93590;-2.17906e-02;1.96395;0.89392;0
Im001;0;6-11-0;6;0;12.00000;11.45265;1.28025;2.36666;1.59507;4.52275e-03;3.16124;0.86199;0
Im001;0;6-12-0;6;0;12.00000;5.76508;0.93733;1.53079;0.98327;7.30085e-02;2.22617;0.86601;0
Im001;0;6-13-0;6;0;12.00000;5.28721;0.65156;1.11623;0.77766;4.58480e-02;3.58779;0.91497;0
Im001;0;6-13-1;6;1;12.00000;5.24966;0.57154;1.18091;2.35448;6.20229e-04;3.58779;0.86974;0
Im001;0;6-14-0;6;0;12.00000;7.36038;0.78873;1.39400;0.71906;-1.47698e-02;3.66805;0.86779;0
Im001;0;6-14-1;6;1;12.00000;7.12243;0.84588;1.51201;2.57944;-1.45571e-02;3.66805;0.88255;0
Im001;0;6-15-0;6;0;12.00000;3.67389;0.78873;1.21902;0.95264;1.15937e-02;2.16531;0.88427;0
Im001;0;6-16-0;6;0;12.00000;9.28421;1.20024;2.10869;1.29548;5.67587e-02;2.55215;0.89457;0
Im001;0;6-17-0;6;0;12.00000;9.49738;0.74300;1.53079;1.04331;-6.50402e-02;2.00809;0.94729;0
Im001;0;6-18-0;6;0;12.00000;7.53064;1.45171;2.37390;1.47478;-9.40430e-02;2.92818;0.88500;0
Im001;0;6-19-0;6;0;12.00000;11.09635;0.85731;1.71064;0.85985;-4.86289e-02;2.16189;0.94356;0
Im001;0;6-20-0;6;0;12.00000;10.00112;1.20024;2.12220;1.52609;9.90971e-02;2.72227;0.83474;0
Im001;0;6-21-0;6;0;12.00000;6.57672;0.12574;0.38549;0.35646;-0.10001;3.52000;0.79213;0
Im001;0;6-21-1;6;1;12.00000;9.31645;1.15451;1.67007;2.12917;-1.22101e-02;3.52000;0.89570;0
Im001;0;6-22-0;6;0;12.00000;9.80721;1.80607;3.07834;1.92083;-4.37399e-02;3.86316;0.86993;0
Im001;0;6-23-0;6;0;12.00000;6.06066;0.86874;1.76329;1.09730;-4.22186e-03;2.29670;0.86367;0
Im001;0;6-24-0;6;0;12.00000;5.89246;0.83445;1.30506;0.94954;-2.14365e-03;3.72770;0.86721;0
Im001;0;6-24-1;6;1;12.00000;5.51443;0.83445;1.48531;2.87540;4.30540e-02;3.72770;0.90532;0
Im001;0;6-25-0;6;0;12.00000;7.36403;0.85731;1.50062;2.54455;-2.39081e-02;3.57435;0.91197;0
Im001;0;6-25-1;6;1;12.00000;6.08945;0.56011;1.19535;0.72070;-4.38095e-02;3.57435;0.84453;0
Im001;0;6-26-0;6;0;12.00000;7.49661;0.40008;0.75600;0.38002;8.78070e-02;2.54656;0.77869;0
Im001;0;6-26-1;6;1;12.00000;5.38219;0.26291;0.91972;1.95643;2.59387e-03;2.54656;0.77214;0
Im001;0;6-27-0;6;0;12.00000;6.58338;0.57154;1.00863;0.79131;-0.11100;3.28425;0.84626;0
Im001;0;6-27-1;6;1;12.00000;5.53156;0.67442;1.15151;2.31776;-3.84254e-02;3.28425;0.92249;0
Im001;0;6-28-0;6;0;12.00000;9.48187;1.02877;1.86719;1.49531;2.13864e-02;2.71760;0.87267;0
Im001;0;6-29-0;6;0;12.00000;8.94530;1.26882;2.44272;1.42565;9.82172e-03;2.86953;0.93182;0
Im001;0;6-30-0;6;0;12.00000;7.85778;1.32597;2.28808;1.79967;-1.45657e-02;3.04415;0.81762;0
Im001;0;6-31-0;6;0;12.00000;7.71718;1.37170;2.53458;1.48659;-6.26717e-02;3.10154;0.89337;0
Im001;0;6-32-0;6;0;12.00000;15.39177;0.65156;1.15151;0.92839;3.91889e-02;1.76602;0.91063;0
Im001;0;6-33-0;6;0;12.00000;13.00962;0.93733;1.67007;1.30516;-6.52419e-02;2.08669;0.81691;0
Im001;0;6-34-0;6;0;12.00000;7.57278;0.73157;1.25141;0.95287;2.81028e-02;1.98301;0.88205;0
Im001;0;6-35-0;6;0;12.00000;9.54175;0.92590;1.57858;0.66506;-4.08759e-02;2.14804;0.83528;0
Im001;0;7-0-0;7;0;14.00000;11.52383;1.34884;2.43804;1.41272;0.16847;2.85215;0.84203;0
Im001;0;7-1-0;7;0;14.00000;7.37181;0.96019;1.60372;1.39557;3.92293e-02;2.41247;0.93188;0
Im001;0;7-2-0;7;0;14.00000;7.09911;0.89160;1.48531;1.00122;-8.51929e-02;4.19232;0.81930;0
Im001;0;7-2-1;7;1;14.00000;7.37066;0.83445;1.33964;3.06032;-0.11513;4.19232;0.85133;0
Im001;0;7-3-0;7;0;14.00000;4.30667;0.86874;1.83009;0.87154;3.70517e-02;2.12923;1.03016;0
Im001;0;7-4-0;7;0;14.00000;5.28208;0.65156;1.32247;1.08150;5.88270e-02;4.10805;0.91323;0
Im001;0;7-4-1;7;1;14.00000;5.72512;0.94876;1.39400;2.96887;7.25886e-02;4.10805;0.89059;0
Im001;0;7-5-0;7;0;14.00000;20.96720;0.85731;1.45420;1.03293;-6.32969e-02;1.95882;0.87591;0
Im001;0;7-6-0;7;0;14.00000;6.66992;0.74300;1.53079;0.91766;-5.35809e-02;2.03099;0.86054;0
Im001;0;7-7-0;7;0;14.00000;20.99721;0.34292;0.65034;0.56228;-5.81329e-02;2.65583;0.76218;0
Im001;0;7-8-0;7;0;14.00000;11.48359;0.35436;0.71721;0.57337;-1.06728e-02;2.34600;0.79075;0
Im001;0;7-8-1;7;1;14.00000;11.50344;0.52582;1.07448;1.65250;-9.94150e-02;2.34600;0.75532;0
Im001;0;7-9-0;7;0;14.00000;6.43939;0.66299;1.30068;0.98962;-5.31426e-02;3.91484;0.88814;0
Im001;0;7-9-1;7;1;14.00000;7.15618;1.01734;1.86719;2.85752;7.38078e-02;3.91484;0.89302;0
Im001;0;7-10-0;7;0;14.00000;14.32537;0.93733;1.58941;0.93590;-2.17906e-02;1.96395;0.89392;0
Im001;0;7-11-0;7;0;14.00000;11.45265;1.28025;2.36666;1.59507;4.52275e-03;3.16124;0.86199;0
Im001;0;7-12-0;7;0;14.00000;5.76508;0.93733;1.53079;0.98327;7.30085e-02;2.22617;0.86601;0
Im001;0;7-13-0;7;0;14.00000;5.28721;0.65156;1.11623;0.77766;4.58480e-02;3.58779;0.91497;0
Im001;0;7-13-1;7;1;14.00000;5.24966;0.57154;1.18091;2.35448;6.20229e-04;3.58779;0.86974;0
Im001;0;7-14-0;7;0;14.00000;7.36038;0.78873;1.39400;0.71906;-1.47698e-02;3.66805;0.86779;0
Im001;0;7-14-1;7;1;14.00000;7.12243;0.84588;1.51201;2.57944;-1.45571e-02;3.66805;0.88255;0
Im001;0;7-15-0;7;0;14.00000;3.67389;0.78873;1.21902;0.95264;1.15937e-02;2.16531;0.88427;0
Im001;0;7-16-0;7;0;14.00000;9.28421;1.20024;2.10869;1.29548;5.67587e-02;2.55215;0.89457;0
Im001;0;7-17-0;7;0;14.00000;9.49738;0.74300;1.53079;1.04331;-6.50402e-02;2.00809;0.94729;0
Im001;0;7-18-0;7;0;14.00000;7.53064;1.45171;2.37390;1.47478;-9.40430e-02;2.92818;0.88500;0
Im001;0;7-19-0;7;0;14.00000;11.09635;0.85731;1.71064;0.85985;-4.86289e-02;2.16189;0.94356;0
Im001;0;7-20-0;7;0;14.00000;10.00112;1.20024;2.12220;1.52609;9.90971e-02;2.72227;0.83474;0
Im001;0;7-21-0;7;0;14.00000;6.57672;0.12574;0.38549;0.35646;-0.10001;3.52000;0.79213;0
Im001;0;7-21-1;7;1;14.00000;9.31645;1.15451;1.67007;2.12917;-1.22101e-02;3.52000;0.89570;0
Im001;0;7-22-0;7;0;14.00000;9.80721;1.80607;3.07834;1.92083;-4.37399e-02;3.86316;0.86993;0
Im001;0;7-23-0;7;0;14.00000;6.06066;0.86874;1.76329;1.09730;-4.22186e-03;2.29670;0.86367;0
Im001;0;7-24-0;7;0;14.00000;5.89246;0.83445;1.30506;0.94954;-2.14365e-03;3.72770;0.86721;0
Im001;0;7-24-1;7;1;14.00000;5.51443;0.83445;1.48531;2.87540;4.30540e-02;3.72770;0.90532;0
Im001;0;7-25-0;7;0;14.00000;7.36403;0.85731;1.50062;2.54455;-2.39081e-02;3.57435;0.91197;0
Im001;0;7-25-1;7;1;14.00000;6.08945;0.56011;1.19535;0.72070;-4.38095e-02;3.57435;0.84453;0
Im001;0;7-26-0;7;0;14.00000;7.49661;0.40008;0.75600;0.38002;8.78070e-02;2.54656;0.77869;0
Im001;0;7-26-1;7;1;14.00000;5.38219;0.26291;0.91972;1.95643;2.59387e-03;2.54656;0.77214;0
Im001;0;7-27-0;7;0;14.00000;6.58338;0.57154;1.00863;0.79131;-0.11100;3.28425;0.84626;0
Im001;0;7-27-1;7;1;14.00000;5.53156;0.67442;1.15151;2.31776;-3.84254e-02;3.28425;0.92249;0
Im001;0;7-28-0;7;0;14.00000;9.48187;1.02877;1.86719;1.49531;2.13864e-02;2.71760;0.87267;0
Im001;0;7-29-0;7;0;14.00000;8.94530;1.26882;2.44272;1.42565;9.82172e-03;2.86953;0.93182;0
Im001;0;7-30-0;7;0;14.00000;7.85778;1.32597;2.28808;1.79967;-1.45657e-02;3.04415;0.81762;0
Im001;0;7-31-0;7;0;14.00000;7.71718;1.37170;2.53458;1.48659;-6.26717e-02;3.10154;0.89337;0
Im001;0;7-32-0;7;0;14.00000;15.39177;0.65156;1.15151;0.92839;3.91889e-02;1.76602;0.91063;0
Im001;0;7-33-0;7;0;14.00000;13.00962;0.93733;1.67007;1.30516;-6.52419e-02;2.08669;0.81691;0
Im001;0;7-34-0;7;0;14.00000;7.57278;0.73157;1.25141;0.95287;2.81028e-02;1.98301;0.88205;0
Im001;0;7-35-0;7;0;14.00000;9.54175;0.92590;1.57858;0.66506;-4.08759e-02;2.14804;0.83528;0
Im001;0;8-0-0;8;0;16.00000;11.52383;1.34884;2.43804;1.41272;0.16847;2.85215;0.84203;0
Im001;0;8-1-0;8;0;16.00000;7.37181;0.96019;1.60372;1.39557;3.92293e-02;2.41247;0.93188;0
Im001;0;8-2-0;8;0;16.00000;7.09911;0.89160;1.48531;1.00122;-8.51929e-02;4.19232;0.81930;0
Im001;0;8-2-1;8;1;16.00000;7.37066;0.83445;1.33964;3.06032;-0.11513;4.19232;0.85133;0
Im001;0;8-3-0;8;0;16.00000;4.30667;0.86874;1.83009;0.87154;3.70517e-02;2.12923;1.03016;0
Im001;0;8-4-0;8;0;16.00000;5.28208;0.65156;1.32247;1.08150;5.88270e-02;4.10805;0.91323;0
Im001;0;8-4-1;8;1;16.00000;5.72512;0.94876;1.39400;2.96887;7.25886e-02;4.10805;0.89059;0
Im001;0;8-5-0;8;0;16.00000;20.96720;0.85731;1.45420;1.03293;-6.32969e-02;1.95882;0.87591;0
Im001;0;8-6-0;8;0;16.00000;6.66992;0.74300;1.53079;0.91766;-5.35809e-02;2.03099;0.86054;0
Im001;0;8-7-0;8;0;16.00000;20.99721;0.34292;0.65034;0.56228;-5.81329e-02;2.65583;0.76218;0
Im001;0;8-8-0;8;0;16.00000;11.48359;0.35436;0.71721;0.57337;-1.06728e-02;2.34600;0.79075;0
Im001;0;8-8-1;8;1;16.00000;11.50344;0.52582;1.07448;1.65250;-9.94150e-02;2.34600;0.75532;0
Im001;0;8-9-0;8;0;16.00000;6.43939;0.66299;1.30068;0.98962;-5.31426e-02;3.91484;0.88814;0
Im001;0;8-9-1;8;1;16.00000;7.15618;1.01734;1.86719;2.85752;7.38078e-02;3.91484;0.89302;0
Im001;0;8-10-0;8;0;16.00000;14.32537;0.93733;1.58941;0.93590;-2.17906e-02;1.96395;0.89392;0
Im001;0;8-11-0;8;0;16.00000;11.45265;1.28025;2.36666;1.59507;4.52275e-03;3.16124;0.86199;0
Im001;0;8-12-0;8;0;16.00000;5.76508;0.93733;1.53079;0.98327;7.30085e-02;2.22617;0.86601;0
Im001;0;8-13-0;8;0;16.00000;5.28721;0.65156;1.11623;0.77766;4.58480e-02;3.58779;0.91497;0
Im001;0;8-13-1;8;1;16.00000;5.24966;0.57154;1.18091;2.35448;6.20229e-04;3.58779;0.86974;0
Im001;0;8-14-0;8;0;16.00000;7.36038;0.78873;1.39400;0.71906;-1.47698e-02;3.66805;0.86779;0
Im001;0;8-14-1;8;1;16.00000;7.12243;0.84588;1.51201;2.57944;-1.45571e-02;3.66805;0.88255;0
Im001;0;8-15-0;8;0;16.00000;3.67389;0.78873;1.21902;0.95264;1.15937e-02;2.16531;0.88427;0
Im001;0;8-16-0;8;0;16.00000;9.28421;1.20024;2.10869;1.29548;5.67587e-02;2.55215;0.89457;0
Im001;0;8-17-0;8;0;16.00000;9.49738;0.74300;1.53079;1.04331;-6.50402e-02;2.00809;0.94729;0
Im001;0;8-18-0;8;0;16.00000;7.53064;1.45171;2.37390;1.47478;-9.40430e-02;2.92818;0.88500;0
Im001;0;8-19-0;8;0;16.00000;11.09635;0.85731;1.71064;0.85985;-4.86289e-02;2.16189;0.94356;0
Im001;0;8-20-0;8;0;16.00000;10.00112;1.20024;2.12220;1.52609;9.90971e-02;2.72227;0.83474;0
Im001;0;8-21-0;8;0;16.00000;6.57672;0.12574;0.38549;0.35646;-0.10001;3.52000;0.79213;0
Im001;0;8-21-1;8;1;16.00000;9.31645;1.15451;1.67007;2.12917;-1.22101e-02;3.52000;0.89570;0
Im001;0;8-22-0;8;0;16.00000;9.80721;1.80607;3.07834;1.92083;-4.37399e-02;3.86316;0.86993;0
Im001;0;8-23-0;8;0;16.00000;6.06066;0.86874;1.76329;1.09730;-4.22186e-03;2.29670;0.86367;0
Im001;0;8-24-0;8;0;16.00000;5.89246;0.83445;1.30506;0.94954;-2.14365e-03;3.72770;0.86721;0
Im001;0;8-24-1;8;1;16.00000;5.51443;0.83445;1.48531;2.87540;4.30540e-02;3.72770;0.90532;0
Im001;0;8-25-0;8;0;16.00000;7.36403;0.85731;1.50062;2.54455;-2.39081e-02;3.57435;0.91197;0
Im001;0;8-25-1;8;1;16.00000;6.08945;0.56011;1.19535;0.72070;-4.38095e-02;3.57435;0.84453;0
Im001;0;8-26-0;8;0;16.00000;7.49661;0.40008;0.75600;0.38002;8.78070e-02;2.54656;0.77869;0
Im001;0;8-26-1;8;1;16.00000;5.38219;0.26291;0.91972;1.95643;2.59387e-03;2.54656;0.77214;0
Im001;0;8-27-0;8;0;16.00000;6.58338;0.57154;1.00863;0.79131;-0.11100;3.28425;0.84626;0
Im001;0;8-27-1;8;1;16.00000;5.53156;0.67442;1.15151;2.31776;-3.84254e-02;3.28425;0.92249;0
Im001;0;8-28-0;8;0;16.00000;9.48187;1.02877;1.86719;1.49531;2.13864e-02;2.71760;0.87267;0
Im001;0;8-29-0;8;0;16.00000;8.94530;1.26882;2.44272;1.42565;9.82172e-03;2.86953;0.93182;0
Im001;0;8-30-0;8;0;16.00000;7.85778;1.32597;2.28808;1.79967;-1.45657e-02;3.04415;0.81762;0
Im001;0;8-31-0;8;0;16.00000;7.71718;1.37170;2.53458;1.48659;-6.26717e-02;3.10154;0.89337;0
Im001;0;8-32-0;8;0;16.00000;15.39177;0.65156;1.15151;0.92839;3.91889e-02;1.76602;0.91063;0
Im001;0;8-33-0;8;0;16.00000;13.00962;0.93733;1.67007;1.30516;-6.52419e-02;2.08669;0.81691;0
Im001;0;8-34-0;8;0;16.00000;7.57278;0.73157;1.25141;0.95287;2.81028e-02;1.98301;0.88205;0
Im001;0;8-35-0;8;0;16.00000;9.54175;0.92590;1.57858;0.66506;-4.08759e-02;2.14804;0.83528;0
Im001;0;9-0-0;9;0;18.00000;11.52383;1.34884;2.43804;1.41272;0.16847;2.85215;0.84203;0
Im001;0;9-1-0;9;0;18.00000;7.37181;0.96019;1.60372;1.39557;3.92293e-02;2.41247;0.93188;0
Im001;0;9-2-0;9;0;18.00000;7.09911;0.89160;1.48531;1.00122;-8.51929e-02;4.19232;0.81930;0
Im001;0;9-2-1;9;1;18.00000;7.37066;0.83445;1.33964;3.06032;-0.11513;4.19232;0.85133;0
Im001;0;9-3-0;9;0;18.00000;4.30667;0.86874;1.83009;0.87154;3.70517e-02;2.12923;1.03016;0
Im001;0;9-4-0;9;0;18.00000;5.28208;0.65156;1.32247;1.08150;5.88270e-02;4.10805;0.91323;0
Im001;0;9-4-1;9;1;18.00000;5.72512;0.94876;1.39400;2.96887;7.25886e-02;4.10805;0.89059;0
Im001;0;9-5-0;9;0;18.00000;20.96720;0.85731;1.45420;1.03293;-6.32969e-02;1.95882;0.87591;0
Im001;0;9-6-0;9;0;18.00000;6.66992;0.74300;1.53079;0.91766;-5.35809e-02;2.03099;0.86054;0
Im001;0;9-7-0;9;0;18.00000;20.99721;0.34292;0.65034;0.56228;-5.81329e-02;2.65583;0.76218;0
Im001;0;9-8-0;9;0;18.00000;11.48359;0.35436;0.71721;0.57337;-1.06728e-02;2.34600;0.79075;0
Im001;0;9-8-1;9;1;18.00000;11.50344;0.52582;1.07448;1.65250;-9.94150e-02;2.34600;0.75532;0
Im001;0;9-9-0;9;0;18.00000;6.43939;0.66299;1.30068;0.98962;-5.31426e-02;3.91484;0.88814;0
Im001;0;9-9-1;9;1;18.00000;7.15618;1.01734;1.86719;2.85752;7.38078e-02;3.91484;0.89302;0
Im001;0;9-10-0;9;0;18.00000;14.32537;0.93733;1.58941;0.93590;-2.17906e-02;1.96395;0.89392;0
Im001;0;9-11-0;9;0;18.00000;11.45265;1.28025;2.36666;1.59507;4.52275e-03;3.16124;0.86199;0
Im001;0;9-12-0;9;0;18.00000;5.76508;0.93733;1.53079;0.98327;7.30085e-02;2.22617;0.86601;0
Im001;0;9-13-0;9;0;18.00000;5.28721;0.65156;1.11623;0.77766;4.58480e-02;3.58779;0.91497;0
Im001;0;9-13-1;9;1;18.00000;5.24966;0.57154;1.18091;2.35448;6.20229e-04;3.58779;0.86974;0
